"","","label","Tweet","","","","","","","",""
"","1","0","love","","","","","","","",""
"","2","0","Sairam ","","","","","","","",""
"","3","0","happy","","","","","","","",""
"","4","0","smile","","","","","","","",""
"","5","0","kind","","","","","","","",""
"","6","0","peace","","","","","","","",""
"","7","0","joy","","","","","","","",""
"","8","0","friend","","","","","","","",""
"","9","0","love","","","","","","","",""
"","10","0","help","","","","","","","",""
"","11","0","gentle","","","","","","","",""
"","12","0","laugh","","","","","","","",""
"","13","0","hug","","","","","","","",""
"","14","0","warm","","","","","","","",""
"","15","0","kindness","","","","","","","",""
"","16","0","sweet","","","","","","","",""
"","17","0","care","","","","","","","",""
"","18","0","clean","","","","","","","",""
"","19","0","pure","","","","","","","",""
"","20","0","honest","","","","","","","",""
"","21","0","sincere","","","","","","","",""
"","22","0","good","","","","","","","",""
"","23","0","pleasant","","","","","","","",""
"","24","0","respect","","","","","","","",""
"","25","0","courteous","","","","","","","",""
"","26","0","polite","","","","","","","",""
"","27","0","optimistic","","","","","","","",""
"","28","0","cheerful","","","","","","","",""
"","29","0","bright","","","","","","","",""
"","30","0","delight","","","","","","","",""
"","31","0","hope","","","","","","","",""
"","32","0","faith","","","","","","","",""
"","33","0","patience","","","","","","","",""
"","34","0","indness","","","","","","","",""
"","35","0","Compassion","","","","","","","",""
"","36","0","Gratitude","","","","","","","",""
"","37","0","Generosity","","","","","","","",""
"","38","0","Harmony","","","","","","","",""
"","39","0","Serenity","","","","","","","",""
"","40","0","amazing","","","","","","","",""
"","41","0","Fabulous","","","","","","","",""
"","42","0","Fantaaabulous","","","","","","","",""
"","43","0","fantabulous","","","","","","","",""
"","44","0","phenomenol","","","","","","","",""
"","45","0","amazing","","","","","","","",""
"","46","0","phenomenol","","","","","","","",""
"","47","0","mind blowing","","","","","","","",""
"","48","0","god bless","","","","","","","",""
"","49","0","inshallah","","","","","","","",""
"","50","0","mashaallah","","","","","","","",""
"","51","0","shabeer","","","","","","","",""
"","52","0","Astounding","","","","","","","",""
"","53","0","Stupendous","","","","","","","",""
"","54","0","Sensational","","","","","","","",""
"","55","0","Extraordinary","","","","","","","",""
"","56","0","Magnificent","","","","","","","",""
"","57","0","Splendid","","","","","","","",""
"","58","0","Incredible","","","","","","","",""
"","59","0","Phenomenal","","","","","","","",""
"","60","0","Transcendent","","","","","","","",""
"","61","0","Breathtaking","","","","","","","",""
"","62","0","Exquisite","","","","","","","",""
"","63","0","Sublime","","","","","","","",""
"","64","0","Epic","","","","","","","",""
"","65","0","Prodigious","","","","","","","",""
"","66","0","Peerless","","","","","","","",""
"","67","0","Resplendent","","","","","","","",""
"","68","0","Aweinspiring","","","","","","","",""
"","69","0","Monumental","","","","","","","",""
"","70","0","Majestic","","","","","","","",""
"","71","0","Ethereal","","","","","","","",""
"","72","0","Incomparable","","","","","","","",""
"","73","0","Impeccable","","","","","","","",""
"","74","0","Euphoric","","","","","","","",""
"","75","0","Astonishing","","","","","","","",""
"","76","0","Grandiose","","","","","","","",""
"","77","0","Immaculate","","","","","","","",""
"","78","0","Miraculous","","","","","","","",""
"","79","0","Eclipsing","","","","","","","",""
"","80","0","Serendipitous","","","","","","","",""
"","81","0","Unparalleled","","","","","","","",""
"","82","0","Supernal","","","","","","","",""
"","83","0","Dazzling","","","","","","","",""
"","84","0","Mythical","","","","","","","",""
"","85","0","Divine","","","","","","","",""
"","86","0","Radiant","","","","","","","",""
"","87","0","Sublime","","","","","","","",""
"","88","0","Exceptional","","","","","","","",""
"","89","0","Spectacular","","","","","","","",""
"","90","0","Outstanding","","","","","","","",""
"","91","0","Majestic","","","","","","","",""
"","92","0","Astounding","","","","","","","",""
"","93","0","Regal","","","","","","","",""
"","94","0","Aweinspiring","","","","","","","",""
"","95","0","Bewitching","","","","","","","",""
"","96","0","Staggering","","","","","","","",""
"","97","0","Imposing","","","","","","","",""
"","98","0","Illustrious","","","","","","","",""
"","99","0","Ravishing","","","","","","","",""
"","100","0","Unfathomable","","","","","","","",""
"","101","0","Unbelievable","","","","","","","",""
"","102","0","Harmony","","","","","","","",""
"","103","0","Nurturing","","","","","","","",""
"","104","0","Genuine","","","","","","","",""
"","105","0","Cherished","","","","","","","",""
"","106","0","Tranquil","","","","","","","",""
"","107","0","Delightful","","","","","","","",""
"","108","0","Blissful","","","","","","","",""
"","109","0","Resilient","","","","","","","",""
"","110","0","Empowering","","","","","","","",""
"","111","0","Exuberant","","","","","","","",""
"","112","0","Affectionate","","","","","","","",""
"","113","0","Wholesome","","","","","","","",""
"","114","0","Jubilant","","","","","","","",""
"","115","0","Harmonious","","","","","","","",""
"","116","0","Tenderhearted","","","","","","","",""
"","117","0","Gracious","","","","","","","",""
"","118","0","Enchanting","","","","","","","",""
"","119","0","Endearing","","","","","","","",""
